Directorate,Updated,TransNo,Service,Cost Centre,Supplier Name,Amount,Type
Childrens Services,12/6/2009,2630205,Commissioning Children's Services,EC5B,SLK Services (Mr Wali Nazir),650,Revenue
Childrens Services,12/6/2009,2630205,Commissioning Children's Services,EC5F,SLK Services (Mr Wali Nazir),"10,180.80",Revenue
Childrens Services,12/6/2009,2630205,Commissioning Children's Services,EC5G,SLK Services (Mr Wali Nazir),"1,950.00",Revenue
Childrens Services,10/13/2009,2618799,Commissioning Children's Services,EC5C,Sovereign Cars,807.83,Revenue
Childrens Services,10/13/2009,2618799,Commissioning Children's Services,EC5F,Sovereign Cars,"12,744.31",Revenue
Childrens Services,10/13/2009,2618799,Commissioning Children's Services,EC5G,Sovereign Cars,"4,405.09",Revenue
Childrens Services,10/13/2009,2618799,Commissioning Children's Services,EC5N,Sovereign Cars,879.31,Revenue
Childrens Services,10/29/2009,2623647,Commissioning Children's Services,EC5C,Sovereign Cars,"1,449.48",Revenue
Childrens Services,10/29/2009,2623647,Commissioning Children's Services,EC5F,Sovereign Cars,"11,083.55",Revenue
Childrens Services,10/29/2009,2623647,Commissioning Children's Services,EC5G,Sovereign Cars,"3,037.34",Revenue
Childrens Services,10/29/2009,2623647,Commissioning Children's Services,EC5N,Sovereign Cars,699.72,Revenue
Childrens Services,10/29/2009,2623812,Commissioning Children's Services,EC5D,St Bernards Travel Club,"1,748.59",Revenue
Childrens Services,10/29/2009,2623830,Commissioning Children's Services,EC5D,St Bernards Travel Club,"2,685.79",Revenue
Childrens Services,12/16/2009,2632295,Commissioning Children's Services,EC5D,St Bernards Travel Club,"2,659.87",Revenue
Childrens Services,12/17/2009,2632497,Commissioning Children's Services,EC5D,St Bernards Travel Club,"1,907.56",Revenue
Childrens Services,10/7/2009,2618887,Commissioning Children's Services,EF20,Stephanie Blades,907.5,Revenue
Childrens Services,12/3/2009,2629850,Commissioning Children's Services,EF20,Stephanie Blades,582.5,Revenue
Childrens Services,10/8/2009,2619117,Commissioning Children's Services,HC21,Supplies Team,515.95,Revenue
Childrens Services,10/2/2009,2618253,Commissioning Children's Services,EC5B,White Bus Services,"43,508.52",Revenue
Childrens Services,10/2/2009,2618253,Commissioning Children's Services,EC5G,White Bus Services,"2,492.90",Revenue
Childrens Services,11/26/2009,2628800,Commissioning Children's Services,EC5B,White Bus Services,"2,050.00",Revenue
Childrens Services,11/26/2009,2628803,Commissioning Children's Services,EC5B,White Bus Services,"1,640.00",Revenue
Childrens Services,12/10/2009,2630923,Commissioning Children's Services,EC5B,White Bus Services,"2,152.50",Revenue
Childrens Services,9/17/2009,2615008,Commissioning Children's Services,EC5B,Wokingham Borough Council,"4,678.74",Revenue
Childrens Services,9/17/2009,2615008,Commissioning Children's Services,EC5D,Wokingham Borough Council,"2,977.38",Revenue
Childrens Services,11/16/2009,2626263,DSG Children's Commissioning,GX05,Action for Children,"23,345.00",Revenue
Childrens Services,11/17/2009,2626756,DSG Children's Commissioning,GX05,Autism (GB) Limited,"46,366.88",Revenue
Childrens Services,9/1/2009,2612268,DSG Children's Commissioning,GX05,Barnardo Services Limited,"26,695.00",Revenue
Childrens Services,9/1/2009,2612269,DSG Children's Commissioning,GX05,Barnardo Services Limited,"26,695.00",Revenue
Childrens Services,9/2/2009,2612463,DSG Children's Commissioning,GX05,Barnardo Services Limited,"30,456.00",Revenue
Childrens Services,9/18/2009,2615090,DSG Children's Commissioning,GX05,Barnardo Services Limited,"26,695.00",Revenue
Childrens Services,9/18/2009,2615091,DSG Children's Commissioning,GX05,Barnardo Services Limited,"13,479.00",Revenue
Childrens Services,9/18/2009,2615092,DSG Children's Commissioning,GX05,Barnardo Services Limited,"26,695.00",Revenue
Childrens Services,9/23/2009,2616204,DSG Children's Commissioning,GX05,Barnardo Services Limited,"26,695.00",Revenue
Childrens Services,11/4/2009,2624568,DSG Children's Commissioning,GX05,Barnardo Services Limited,"13,479.00",Revenue
Childrens Services,11/10/2009,2625283,DSG Children's Commissioning,GX05,Barnardo Services Limited,"30,215.20",Revenue
Childrens Services,9/10/2009,2613901,DSG Children's Commissioning,EC70,Beazley & Watts Ltd,560,Revenue
Childrens Services,12/14/2009,2631863,DSG Children's Commissioning,GX05,Berkshire College Of Agriculture,800,Revenue
Childrens Services,10/23/2009,2622932,DSG Children's Commissioning,GX05,Boveridge House School Trust,"10,861.00",Revenue
Childrens Services,12/3/2009,2629910,DSG Children's Commissioning,GX05,Bryn Melyn Care,"21,744.29",Revenue
Childrens Services,9/22/2009,2616045,DSG Children's Commissioning,GX33,Buckinghamshire County Council,"95,618.67",Revenue
Childrens Services,9/22/2009,2616046,DSG Children's Commissioning,GX30,Buckinghamshire County Council,"24,095.80",Revenue
Childrens Services,10/2/2009,2618293,DSG Children's Commissioning,GX05,CfBT Education Trust,"11,268.00",Revenue
Childrens Services,10/13/2009,2620108,DSG Children's Commissioning,GX05,Chailey Heritage School,"11,692.00",Revenue
Childrens Services,10/13/2009,2620109,DSG Children's Commissioning,GX05,Chailey Heritage School,"15,055.00",Revenue
Childrens Services,11/17/2009,2626888,DSG Children's Commissioning,GX05,Chelfham Senior School,"40,754.06",Revenue
Childrens Services,11/17/2009,2626900,DSG Children's Commissioning,GX05,Chelfham Senior School,"49,245.31",Revenue
Childrens Services,9/11/2009,2613891,DSG Children's Commissioning,EC69,Churchill Contract Services Ltd,"20,061.03",Revenue
Childrens Services,10/10/2009,2619670,DSG Children's Commissioning,EC69,Churchill Contract Services Ltd,"20,061.03",Revenue
Childrens Services,11/19/2009,2625975,DSG Children's Commissioning,EC69,Churchill Contract Services Ltd,"20,460.04",Revenue
Childrens Services,12/16/2009,2632217,DSG Children's Commissioning,EC69,Churchill Contract Services Ltd,"20,460.04",Revenue
Childrens Services,12/4/2009,2626508,DSG Children's Commissioning,EC70,E Russum & Sons Ltd,540,Revenue
Childrens Services,11/23/2009,2627893,DSG Children's Commissioning,EC70,E Russum & Sons Ltd,523.06,Revenue
Childrens Services,12/21/2009,2632724,DSG Children's Commissioning,EC70,E Russum & Sons Ltd,540,Revenue
Childrens Services,10/29/2009,2623622,DSG Children's Commissioning,EJ30,F J Lane & Son Ltd,689,Revenue
Childrens Services,10/13/2009,2620102,DSG Children's Commissioning,GX05,Farney Close School Ltd,"10,656.68",Revenue
Childrens Services,10/7/2009,2618819,DSG Children's Commissioning,GX05,Flexible Physiotherapy,738,Revenue
Childrens Services,12/9/2009,2630720,DSG Children's Commissioning,GX05,Flexible Physiotherapy,798,Revenue
Childrens Services,10/1/2009,2618095,DSG Children's Commissioning,EC70,Foster Refrigerator (UK) Ltd,"1,821.00",Revenue
Childrens Services,11/26/2009,2628832,DSG Children's Commissioning,GX05,Grafham Grange Special Educational Trust Ltd,"20,135.00",Revenue
Childrens Services,11/26/2009,2628836,DSG Children's Commissioning,GX05,Grafham Grange Special Educational Trust Ltd,"21,550.00",Revenue
Childrens Services,11/26/2009,2628838,DSG Children's Commissioning,GX05,Grafham Grange Special Educational Trust Ltd,"20,135.00",Revenue
Childrens Services,9/11/2009,2613909,DSG Children's Commissioning,EC69,Grundon Waste Management Ltd,"6,731.18",Revenue
Childrens Services,9/14/2009,2613911,DSG Children's Commissioning,EC69,Grundon Waste Management Ltd,"1,084.39",Revenue
Childrens Services,10/20/2009,2621345,DSG Children's Commissioning,EC69,Grundon Waste Management Ltd,"6,731.18",Revenue
Childrens Services,11/12/2009,2625957,DSG Children's Commissioning,EC69,Grundon Waste Management Ltd,"5,642.92",Revenue
Childrens Services,11/6/2009,2624855,DSG Children's Commissioning,GX05,Hamilton Lodge(Education)Ltd,"12,928.00",Revenue
Childrens Services,12/21/2009,2633328,DSG Children's Commissioning,GX05,Hampshire Autistic Society,"3,034.24",Revenue
Childrens Services,12/1/2009,2629196,DSG Children's Commissioning,HB9A,Harrison Catering Services Limited,"28,330.00",Revenue
Childrens Services,12/2/2009,2629197,DSG Children's Commissioning,HB9A,Harrison Catering Services Limited,"30,731.00",Revenue
Childrens Services,12/1/2009,2629199,DSG Children's Commissioning,HB9A,Harrison Catering Services Limited,"25,301.36",Revenue
Childrens Services,12/1/2009,2629200,DSG Children's Commissioning,HB9A,Harrison Catering Services Limited,"25,301.36",Revenue
Childrens Services,9/28/2009,2617074,DSG Children's Commissioning,EC70,Hobart UK,"2,121.00",Revenue
Childrens Services,9/28/2009,2617075,DSG Children's Commissioning,EC70,Hobart UK,"2,477.00",Revenue
Childrens Services,9/28/2009,2617076,DSG Children's Commissioning,EC70,Hobart UK,"2,121.00",Revenue
Childrens Services,9/29/2009,2617077,DSG Children's Commissioning,EC70,Hobart UK,"2,249.00",Revenue
Childrens Services,10/12/2009,2619989,DSG Children's Commissioning,EC70,Hobart UK,"1,796.00",Revenue
Childrens Services,9/25/2009,2616786,DSG Children's Commissioning,GX05,I CAN Charity,"9,942.00",Revenue
Childrens Services,10/21/2009,2622092,DSG Children's Commissioning,GX05,I CAN Charity,"3,698.00",Revenue
Childrens Services,10/21/2009,2622093,DSG Children's Commissioning,GX05,I CAN Charity,"1,849.00",Revenue
Childrens Services,11/25/2009,2628408,DSG Children's Commissioning,GX05,I CAN Charity,"9,942.00",Revenue
Childrens Services,11/25/2009,2628423,DSG Children's Commissioning,GX05,I CAN Charity,"15,490.00",Revenue
Childrens Services,11/25/2009,2628425,DSG Children's Commissioning,GX05,I CAN Charity,"9,942.00",Revenue
Childrens Services,11/25/2009,2628430,DSG Children's Commissioning,GX05,I CAN Charity,"9,942.00",Revenue
Childrens Services,9/7/2009,2612751,DSG Children's Commissioning,EC69,ISS Waterers Landscape,"11,084.00",Revenue
Childrens Services,10/9/2009,2618817,DSG Children's Commissioning,EC69,ISS Waterers Landscape,"11,084.00",Revenue
Childrens Services,11/5/2009,2624858,DSG Children's Commissioning,EC69,ISS Waterers Landscape,"11,084.00",Revenue
Childrens Services,12/3/2009,2629924,DSG Children's Commissioning,EC69,ISS Waterers Landscape,"11,084.00",Revenue
Childrens Services,9/22/2009,2615877,DSG Children's Commissioning,GX30,Kent County Council,"6,190.46",Revenue
Childrens Services,10/2/2009,2618321,DSG Children's Commissioning,GX31,London Borough of Camden,"1,987.56",Revenue
Childrens Services,12/3/2009,2629901,DSG Children's Commissioning,GX31,London Borough Of Harrow,536.58,Revenue
Childrens Services,10/30/2009,2623900,DSG Children's Commissioning,EJ13,LSM Decorators Limited,"1,252.00",Revenue
Childrens Services,10/23/2009,2622933,DSG Children's Commissioning,GX05,LVS Hassocks,"6,908.34",Revenue
Childrens Services,10/23/2009,2622934,DSG Children's Commissioning,GX05,LVS Hassocks,"6,666.67",Revenue
Childrens Services,12/9/2009,2630717,DSG Children's Commissioning,GX05,LVS Hassocks,"6,666.67",Revenue
Childrens Services,12/9/2009,2630719,DSG Children's Commissioning,GX05,LVS Hassocks,"6,908.34",Revenue
Childrens Services,10/16/2009,2620843,DSG Children's Commissioning,GX05,Mary Hare School,"6,770.00",Revenue
Childrens Services,10/16/2009,2620846,DSG Children's Commissioning,GX05,Mary Hare School,"7,919.00",Revenue
Childrens Services,12/3/2009,2629914,DSG Children's Commissioning,GX05,Mary Hare School,"6,770.00",Revenue
Childrens Services,12/3/2009,2629915,DSG Children's Commissioning,GX05,Mary Hare School,"7,919.00",Revenue
Childrens Services,10/2/2009,2618098,DSG Children's Commissioning,EC70,Meiko UK Ltd,756.32,Revenue
Childrens Services,12/3/2009,2629851,DSG Children's Commissioning,GX05,Moor House School,"1,750.00",Revenue
Childrens Services,12/18/2009,2632712,DSG Children's Commissioning,GX05,Moor House School,"27,874.00",Revenue
Childrens Services,12/18/2009,2632737,DSG Children's Commissioning,GX05,Moorcroft Manor Ltd T/A Hillingdon Manor School,"23,724.96",Revenue
Childrens Services,9/1/2009,2612264,DSG Children's Commissioning,GX05,Muntham House School,"6,630.00",Revenue
Childrens Services,11/17/2009,2626770,DSG Children's Commissioning,GX05,Muntham House School,"56,268.00",Revenue
Childrens Services,11/17/2009,2626776,DSG Children's Commissioning,GX05,Muntham House School,"6,875.00",Revenue
Childrens Services,11/17/2009,2626889,DSG Children's Commissioning,GX05,North Hill House,"47,583.35",Revenue
Childrens Services,10/31/2009,2623888,DSG Children's Commissioning,GX30,Oxfordshire County Council,"16,393.65",Revenue
Childrens Services,11/16/2009,2626253,DSG Children's Commissioning,GX31,Oxfordshire County Council,"9,372.51",Revenue
Childrens Services,10/13/2009,2620112,DSG Children's Commissioning,GX05,Pontville School,"26,091.00",Revenue
Childrens Services,9/14/2009,2614413,DSG Children's Commissioning,GX05,Priors Court School,"27,396.62",Revenue
Childrens Services,9/14/2009,2614422,DSG Children's Commissioning,GX05,Priors Court School,"23,180.51",Revenue
Childrens Services,9/15/2009,2614428,DSG Children's Commissioning,GX05,Priors Court School,"20,983.44",Revenue
Childrens Services,9/15/2009,2614434,DSG Children's Commissioning,GX05,Priors Court School,"23,651.25",Revenue
Childrens Services,9/23/2009,2616205,DSG Children's Commissioning,GX05,Priors Court School,"9,730.00",Revenue
Childrens Services,9/23/2009,2616206,DSG Children's Commissioning,GX05,Priors Court School,"11,549.00",Revenue
Childrens Services,10/7/2009,2618818,DSG Children's Commissioning,GX05,Priors Court School,"9,570.00",Revenue
Childrens Services,10/21/2009,2622073,DSG Children's Commissioning,GX05,Priors Court School,"2,911.63",Revenue
Childrens Services,10/21/2009,2622078,DSG Children's Commissioning,GX05,Priors Court School,"3,722.83",Revenue
Childrens Services,10/21/2009,2622080,DSG Children's Commissioning,GX05,Priors Court School,"4,271.96",Revenue
Childrens Services,10/21/2009,2622084,DSG Children's Commissioning,GX05,Priors Court School,"3,722.87",Revenue
Childrens Services,11/10/2009,2625284,DSG Children's Commissioning,GX05,Priors Court School,"23,651.25",Revenue
Childrens Services,11/10/2009,2625313,DSG Children's Commissioning,GX05,Priors Court School,"26,226.17",Revenue
Childrens Services,11/10/2009,2625315,DSG Children's Commissioning,GX05,Priors Court School,"23,180.51",Revenue
Childrens Services,11/10/2009,2625316,DSG Children's Commissioning,GX05,Priors Court School,"27,396.62",Revenue
Childrens Services,11/20/2009,2627595,DSG Children's Commissioning,GX05,Priory Education Services Limited,"37,746.44",Revenue
Childrens Services,10/2/2009,2618289,DSG Children's Commissioning,GX05,RNIB,"13,100.00",Revenue
Childrens Services,9/29/2009,2617428,DSG Children's Commissioning,EC70,Robinsons Hygiene Services Ltd,892.5,Revenue
Childrens Services,10/2/2009,2617571,DSG Children's Commissioning,EC70,Robinsons Hygiene Services Ltd,"2,280.00",Revenue
Childrens Services,10/2/2009,2617692,DSG Children's Commissioning,EC70,Robinsons Hygiene Services Ltd,990,Revenue
Childrens Services,11/10/2009,2622567,DSG Children's Commissioning,EC70,Robinsons Hygiene Services Ltd,"1,980.00",Revenue
Childrens Services,11/10/2009,2624887,DSG Children's Commissioning,EC70,Robinsons Hygiene Services Ltd,"1,755.00",Revenue
Childrens Services,11/10/2009,2625322,DSG Children's Commissioning,EC70,Robinsons Hygiene Services Ltd,"1,980.00",Revenue
Childrens Services,12/11/2009,2627766,DSG Children's Commissioning,EC70,Robinsons Hygiene Services Ltd,"1,155.00",Revenue
Childrens Services,9/30/2009,2617722,DSG Children's Commissioning,EC70,Scotford & Teasdale,"1,545.00",Revenue
Childrens Services,10/20/2009,2621950,DSG Children's Commissioning,EC70,Scotford & Teasdale,915.7,Revenue
Childrens Services,10/26/2009,2623146,DSG Children's Commissioning,EC70,Scotford & Teasdale,915.7,Revenue
Childrens Services,10/26/2009,2622936,DSG Children's Commissioning,GX05,Senad Ltd,"29,016.59",Revenue
Childrens Services,10/13/2009,2620114,DSG Children's Commissioning,GX05,Sense,"1,921.44",Revenue
Childrens Services,11/25/2009,2628203,DSG Children's Commissioning,GX31,Slough Borough Council,"16,694.75",Revenue
Childrens Services,9/22/2009,2615876,DSG Children's Commissioning,GX33,Somerset County Council,"2,372.00",Revenue
Childrens Services,12/11/2009,2631335,DSG Children's Commissioning,GX05,St Edward's School,"22,234.00",Revenue
Childrens Services,12/11/2009,2631336,DSG Children's Commissioning,GX05,St Edward's School,"22,234.00",Revenue
Childrens Services,9/9/2009,2613607,DSG Children's Commissioning,GX05,St Johns Catholic School for the Deaf,"11,686.00",Revenue
Childrens Services,12/18/2009,2632720,DSG Children's Commissioning,GX05,St Johns Catholic School for the Deaf,"11,686.00",Revenue
Childrens Services,10/24/2009,2622935,DSG Children's Commissioning,GX05,St Johns Residential School,"27,171.00",Revenue
